created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url,,,,,,,,,,,
"Thu Oct 05 22:52:57 +0000 2023;1710065569465069743;""@VIVAcoid Bisa jadi akan terjadi dgn Warga Rempang nih jika di relokasi yg janji akan ganti rugi malah dapatnya Zonk.."";0;0;0;1;in;1638073896850292739;1709834197249163504;MrPiNetrwork;https://twitter.com/MrPiNetrwork/status/1710065569465069743",,,,,,,,,,,
"Thu Oct 05 22:51:47 +0000 2023;1710065274185974011;""@Sunyisejati @RamliRizal NEW…Kolonialisme", Rempang di Rampok IKN di gadai 190Tahun," beda2 tipis dgn Kolonial Belanda."";0;0;1;3;in;1525210627073253376;1709772340761166196;mangkubrilliant;https://twitter.com/mangkubrilliant/status/1710065274185974011",,,,,,,,,
"Thu Oct 05 22:46:33 +0000 2023;1710063957615018241;""@ListyoSigitP Slogan NKRI harga mati", ternyata hanya redaksi pemanis penguasa untuk melanggengkan kekuasaan memperkaya diri merampok dan menindas rakyat, tidak heran Aceh, Papua, Rempang siap untuk merdeka, memisahkan diri," apa yang terjadi kalau daerah lain mendukung"";0;0;0;0;in;1432218498650959879;1709761386073751687;WangsaPersada;https://twitter.com/WangsaPersada/status/1710063957615018241",,,,,
"Thu Oct 05 22:45:09 +0000 2023;1710063606790750234;""KESAKTIAN PANCASILA 1965: Menumpas komunis yang mau kuasai negara. 2023: Gusur tanah rakyat Rempang demi investasi dari negara komunis Cina.  Joko Prasetyo  Jurnalis ======================= Follow kami di: Tiktok: https://t.co/0wpoX0pVQh Telegram:https://t.co/xBMMAMUDZ1 https://t.co/wHREvAqS9J"";0;0;0;1;in;610064636;1710063606790750234;syahrulmujahid1;https://twitter.com/syahrulmujahid1/status/1710063606790750234",,,,,,,,,,,
"Thu Oct 05 22:39:11 +0000 2023;1710062103900324155;""@tempodotco Rakyat Rempang klaim dan protes karena ada masalah pak"," hadeh gimana sih.."";0;0;0;0;in;1659931422369656834;1710054677583114414;rendi082014980;https://twitter.com/rendi082014980/status/1710062103900324155",,,,,,,,,,
"Thu Oct 05 22:39:05 +0000 2023;1710062077820154124;""@RagilSemar Saudara2 orang2 kalimantan gak nyadar..nanti kejadian kek rempang baru mewek......Kalimantan itu boleh dibilang jokower"";0;0;0;1;in;1603653519839330304;1709943020613968079;BFbu88;https://twitter.com/BFbu88/status/1710062077820154124",,,,,,,,,,,
"Thu Oct 05 22:38:54 +0000 2023;1710062030328139958;""@iya123456743 @KompasTV Rempang tidak cocok buat pabrik kaca"";0;1;0;0;in;1514845309423144963;1709795707610448312;DwiSufianto;https://twitter.com/DwiSufianto/status/1710062030328139958",,,,,,,,,,,
"Thu Oct 05 22:37:33 +0000 2023;1710061693919744274;""@tvOneNews Netralnya dimana jls2 rempang aga pihakny ke jokowi ko.. Panglima edan"";0;0;0;0;in;1665937953703735296;1709798174154735833;ferylefranus;https://twitter.com/ferylefranus/status/1710061693919744274",,,,,,,,,,,
"Thu Oct 05 22:26:45 +0000 2023;1710058976308560276;""Reaksi Melayu 5 Negara BP Batam", Bahlil Lahadalia Muhammad Rudi Pembohong," Status Pengelolaan Pulau Rempang!  https://t.co/AbtWrX9J7w https://t.co/y9OlEoWUj1"";0;0;0;0;in;1484562767478935553;1710058976308560276;Rojir0;https://twitter.com/Rojir0/status/1710058976308560276",,,,,,,,,
"Thu Oct 05 22:21:19 +0000 2023;1710057604930486740;""@RidhoRahmadi85 Itu mbah @realAmienRais jalan kaki jogja - rempang …  Luar binasa"";0;2;1;4;in;966950594261864448;1709863973737381961;Jazz24632;https://twitter.com/Jazz24632/status/1710057604930486740",,,,,,,,,,,
"Thu Oct 05 22:20:41 +0000 2023;1710057447673442746;""@fransisca_ning Mmg ada global war", tapi yg di Rempang itu, bkn krn intervensi USA, tp lbh disebabkan cara Investor China &amp  Pemrintah RI yg ugal²an. Lahan pengganti &amp  kompensasi blm kelar sdh main usir warga sj, makai kkerasan polri+TNI pula &amp  tanpa perhatiin sjrah," budaya &amp  ekonomi wrga stempat"";0;1;0;0;in;175752154;1707282292396458186;taufik_q;https://twitter.com/taufik_q/status/1710057447673442746",,,,,,
"Thu Oct 05 22:20:01 +0000 2023;1710057280798925193;""Bodoh Amat Bapak", noh Rempang urus, itu borok penjajahan ekonomi," IKN juga sama"";0;0;0;2;in;486497054;1710057280798925193;infocisels;https://twitter.com/infocisels/status/1710057280798925193",,,,,,,,
"Thu Oct 05 22:17:34 +0000 2023;1710056661610594585;""@tempodotco Penyerobotan Tanah Warga Rempang"," Nusron Wahid: Apa Bedanya BP Batam dengan VOC? https://t.co/aocQ4IFaag"";0;0;0;0;in;1618351099605577730;1710054677583114414;Kyaigringsing62;https://twitter.com/Kyaigringsing62/status/1710056661610594585",,,,,,,,,,
"Thu Oct 05 22:13:43 +0000 2023;1710055692936036642;""@dwioktariyadi Demo rempang "," ujung2 nya turunkan jokowi... https://t.co/fUFYeAav3i"";0;0;0;0;in;1673287310706884611;1709852069937442830;ahmad51971;https://twitter.com/ahmad51971/status/1710055692936036642",,,,,,,,,,
"Thu Oct 05 22:10:20 +0000 2023;1710054841291034843;""AWAS! ISU REMPANG 'HILANG'! DUA TOKOH INI NEKAT BONGKAR SKENARIO MENGERIKAN! ISTANA IKUT TERLIBAT? https://t.co/Ua5cBf49s5"";0;0;0;0;in;1616209097254375425;1710054841291034843;SsPasadena;https://twitter.com/SsPasadena/status/1710054841291034843",,,,,,,,,,,
